post_id,chunk_num,cluster,z0,z1,z2,z3,z4
l6wzgn,0,27,11.397283,10.730678,9.824543,1.0556167,9.951615
l7lloe,4,33,10.170578,9.270471,11.842319,-0.08218861,7.600363
lc52ml,3,-1,11.202585,9.175659,10.523407,-0.21342865,7.8881726
lahgwj,0,33,11.811012,9.548985,10.774886,1.1013415,8.310263
l71cqv,0,27,11.700156,10.94297,9.746935,-0.6262065,10.092514
l8e0el,2,27,11.805812,10.552015,9.846591,-0.6286695,10.215086
laoy1b,4,27,11.648472,11.105552,9.722453,1.0201042,10.358592
l8dbu1,8,-1,10.156919,9.287718,10.708267,1.1921346,8.131205
l8tbry,0,-1,9.969743,10.517157,11.188372,0.61860275,9.827886
lc7ql1,9,-1,10.261314,9.33997,10.690625,1.8571717,8.802791
l7nq23,0,23,11.845938,9.723555,10.105847,-1.1768638,10.30933
l6wx23,0,10,8.387446,10.759458,11.544237,1.2158931,8.872256
l75394,0,28,8.907268,9.708588,11.621906,-0.94813025,7.6416507
lah1uf,4,33,9.478778,9.872069,12.524605,0.2153606,8.05509
l70gkd,0,-1,9.173126,9.822615,11.970799,0.77750695,9.15352
lalrkd,1,-1,8.195112,12.694027,9.494586,0.565667,8.170736
laoy1b,8,27,11.39575,10.884214,9.62089,0.799259,10.326051
lbi7x5,0,-1,11.485403,10.586313,9.498748,0.2474911,10.859682
lc8bt0,0,-1,10.329813,9.8985615,10.724548,1.0205516,7.96098
l9g8ft,25,-1,11.006084,9.703414,10.93294,0.3751437,7.711031
l7avsp,0,-1,11.247842,10.810179,9.649406,0.50156105,10.7896385
l70e62,0,11,8.190516,10.348667,10.960477,0.47467285,6.946383
laxn4p,2,13,9.95552,11.421155,9.315994,1.3487916,7.338888
lam364,0,-1,10.841349,10.123579,11.013314,-0.10313796,8.220389
l7b1b7,0,15,8.563277,11.721005,9.375863,0.51463836,7.9996567
l9bexc,1,33,10.76749,8.730756,11.618709,-0.17743267,8.116004
l706lh,0,-1,11.295624,9.553124,10.813603,1.244607,8.738593
l7ktdy,17,21,10.123409,11.590451,11.05337,0.523435,9.236441
l6ziok,0,12,10.171395,9.679636,11.560385,0.1046074,9.264242
lc8vgj,1,27,11.749499,10.856198,9.686685,1.4067543,9.948547
lbbs9v,1,33,9.313962,9.963593,12.126386,1.3467244,8.714399
l72ovi,0,-1,11.986038,10.661944,9.687959,0.55359936,10.260535
l6zwqp,0,17,9.953125,11.23143,11.512564,-0.15579326,7.410149
l8qfdi,1,-1,10.186328,11.859558,11.135633,0.09124519,8.032523
